rebalance_date,rank,symbol,trailing_90d_median_yahoo_dollar_volume,valid_volume_obs_90d
2021-10-01,36,ENJ-USD,155536171.0,90
2021-10-01,37,HOT2682-USD,150887445.0,90
2021-10-01,38,WAVES-USD,144072770.5,90
2021-10-01,39,MANA-USD,143921933.0,90
2021-10-01,40,SXP-USD,143850403.0,90
2021-10-01,41,SNX-USD,143597175.5,90
2021-10-01,42,MKR-USD,141193725.5,90
2021-10-01,43,IOST-USD,128452055.5,90
2021-10-01,44,ONT-USD,126603833.0,90
2021-10-01,45,RUNE-USD,103995654.5,90
2021-10-01,46,ZIL-USD,97142242.0,90
2021-10-01,47,ZRX-USD,81442949.5,90
2021-10-01,48,XEM-USD,81415470.5,90
2021-10-01,49,TFUEL-USD,76466872.5,90
2021-10-01,50,CHR-USD,72458478.0,90
2021-11-01,1,BTC-USD,34608972223.5,90
2021-11-01,2,ETH-USD,19438218938.5,90
2021-11-01,3,XRP-USD,3973120892.5,90
2021-11-01,4,ADA-USD,3665124508.0,90
2021-11-01,5,LTC-USD,2608415886.5,90
2021-11-01,6,BCH-USD,2495940018.5,90
2021-11-01,7,BNB-USD,1981397365.5,90
2021-11-01,8,DOGE-USD,1944963406.5,90
2021-11-01,9,TRX-USD,1418884406.0,90
2021-11-01,10,EOS-USD,1396129637.5,90
2021-11-01,11,LINK-USD,1268037663.0,90
2021-11-01,12,ETC-USD,1229164151.5,90
2021-11-01,13,LUNC-USD,1088037807.0,90
2021-11-01,14,FIL-USD,925877062.0,90
2021-11-01,15,ATOM-USD,716746813.0,90
2021-11-01,16,VET-USD,644561724.5,90
2021-11-01,17,XLM-USD,643984531.5,90
2021-11-01,18,OMG-USD,639398377.5,90
2021-11-01,19,BTT-USD,456947749.5,90
2021-11-01,20,BTTOLD-USD,456947749.5,90
2021-11-01,21,FTT-USD,451036339.0,90
2021-11-01,22,XTZ-USD,424370955.0,90
2021-11-01,23,OKB-USD,384522671.0,90
2021-11-01,24,NEO-USD,377490137.0,90
2021-11-01,25,ALGO-USD,365039203.0,90
2021-11-01,26,QTUM-USD,348024776.5,90
2021-11-01,27,BSV-USD,346478338.0,90
2021-11-01,28,THETA-USD,314147142.0,90
2021-11-01,29,DASH-USD,307190156.5,90
2021-11-01,30,HBAR-USD,293911812.0,90
2021-11-01,31,CHZ-USD,283119655.0,90
2021-11-01,32,ZEC-USD,263811211.5,90
2021-11-01,33,BAT-USD,242353725.5,90
2021-11-01,34,XMR-USD,226269269.5,90
2021-11-01,35,HT-USD,212414930.5,90
2021-11-01,36,HOT2682-USD,186161489.0,90
2021-11-01,37,IOST-USD,176584503.5,90
2021-11-01,38,ONT-USD,152289606.0,90
2021-11-01,39,ONE3945-USD,150058140.5,90
2021-11-01,40,SXP-USD,149385850.5,90
2021-11-01,41,WAVES-USD,144072770.5,90
2021-11-01,42,MKR-USD,142570753.0,90
2021-11-01,43,ENJ-USD,141598041.5,90
2021-11-01,44,MANA-USD,134143740.0,90
2021-11-01,45,CELR-USD,130675248.5,90
2021-11-01,46,SNX-USD,128267553.5,90
2021-11-01,47,KAVA-USD,125547607.0,90
2021-11-01,48,ZIL-USD,102850520.0,90
2021-11-01,49,RUNE-USD,100135048.0,90
2021-11-01,50,WIN-USD,92419007.0,90
2021-12-01,1,BTC-USD,36104812698.0,90
2021-12-01,2,ETH-USD,18690024758.0,90
2021-12-01,3,XRP-USD,3591060797.5,90
2021-12-01,4,ADA-USD,2877107743.0,90
2021-12-01,5,LTC-USD,2725951688.5,90
2021-12-01,6,BNB-USD,2194828840.0,90
2021-12-01,7,TRX-USD,1815526205.0,90
2021-12-01,8,DOGE-USD,1765073598.0,90
